,county,population,summer_2021_cases,summer_2021_doses_administered,summer_2021_pfizer_doses,summer_2021_moderna_doses,summer_2021_jj_doses,summer_2021_partially_vaccinated,summer_2021_at_least_one_dose,summer_2021_fully_vaccinated,summer_2021_partially_vaccinated_percent,summer_2021_at_least_one_dose_percent,summer_2021_fully_vaccinated_percent,summer_2021_Unemployment_Rate,democrat_votes_percent,green_votes_percent,republican_votes_percent,libertarian_votes_percent,other_votes_percent
0,Alameda,1685886,23141,258266,204507,44793,8898,101159,109907,115788,0.05547971,0.765295979,0.71700432,0.064571781,0.802081629,0.0060565919999999995,0.177008584,0.008174582,0.006678614
1,Alpine,1117,13,72,10,62,0,22,22,7,0.085365854,0.691637631,0.606271777,0.08510638300000001,0.642375169,0.005398111,0.32928475,0.020242915,0.002699055
2,Amador,38531,1319,4960,2686,1875,399,2266,2673,2199,0.088794311,0.5706732929999999,0.488170451,0.067484663,0.365539813,0.004931851,0.6090835720000001,0.015647418,0.004797346
3,Butte,217769,6060,33097,23097,8394,1606,14914,16492,15069,0.055096334000000004,0.492462843,0.442633491,0.070815451,0.494052868,0.004967374,0.47743616899999997,0.01738091,0.006162679
4,Calaveras,44289,1392,6594,3804,2420,370,3079,3449,2854,0.06150105,0.538255775,0.48106554700000004,0.057350933,0.36982771299999995,0.004601679,0.608084229,0.013216021000000001,0.004270358
5,Colusa,22593,428,4184,2444,1640,88,2062,2147,2009,0.077431979,0.576267238,0.5125792020000001,0.104278075,0.406858435,0.0031403090000000004,0.57266675,0.010174601,0.007159905
6,Contra Costa,1160099,22241,209118,171875,29626,7580,84607,92092,89487,0.051066537,0.770821366,0.72518083,0.067590028,0.716281678,0.004503575,0.262984332,0.010520956000000001,0.005709459
7,Del Norte,27558,1944,4723,2617,1723,368,2160,2526,2035,0.073694574,0.465103559,0.404645566,0.07523511,0.40836462100000004,0.006810443,0.564131669,0.013097005,0.007596263000000001
8,El Dorado,193098,4280,28296,19667,7158,1467,11658,13112,12302,0.06288940900000001,0.612173941,0.556409748,0.058951965,0.44439948700000004,0.003960089,0.532356511,0.016107232,0.00317668
9,Fresno,1032227,25251,199584,148324,45665,5541,94101,99536,91887,0.08015089999999998,0.581665014,0.511690675,0.092732947,0.5289559,0.004039275,0.45068878700000004,0.011046348000000001,0.005269691
10,Glenn,29348,778,5031,3868,872,290,2431,2719,2426,0.053876760999999995,0.518801305,0.471556081,0.069124424,0.353633708,0.003009649,0.625210233,0.011330442,0.006815969
11,Humboldt,134098,3520,23101,15476,5976,1622,9441,11041,10283,0.066068588,0.6329179189999999,0.574885098,0.063758389,0.650291242,0.009078628,0.316226777,0.016443211,0.007960141
12,Imperial,191649,2870,51444,37847,11541,2054,23948,25987,25747,0.14816664400000001,0.8370510940000001,0.695948195,0.19530102800000002,0.6111414620000001,0.004123857,0.367393335,0.006873094000000001,0.010468251999999999
13,Inyo,18453,341,2214,1380,795,35,1027,1061,869,0.05269560400000001,0.567210395,0.5193807020000001,0.059665870999999995,0.4886124,0.0047448329999999995,0.487136229,0.013496415,0.006010122
14,Kern,927251,20502,170103,116642,47716,5721,83826,89471,78340,0.07324362200000001,0.502404725,0.437491294,0.107492719,0.436847346,0.003517943,0.538775992,0.012912228000000001,0.007946491
15,Kings,156444,6207,24836,17106,6941,787,12603,13382,11298,0.068672331,0.423654839,0.36173913,0.095575221,0.42632406899999997,0.002849912,0.5488246960000001,0.013770776,0.008230546
16,Lake,64871,2344,12406,6455,5321,630,5985,6606,5598,0.068669327,0.545363846,0.48134002600000003,0.07398568,0.518568652,0.007184505999999999,0.455469943,0.012980702,0.005796196
17,Lassen,30065,1109,2506,864,1372,270,1231,1497,1150,0.030816097,0.259483726,0.22866762899999998,0.056818182,0.23350296199999998,0.002586135,0.74831067,0.011762743,0.0038374909999999997
18,Los Angeles,10257557,171012,1897839,1383746,447813,65534,826186,890537,868421,0.077416119,0.684313965,0.6146063620000001,0.102197651,0.710278084,0.005079303,0.268628506,0.008313547,0.00770056
19,Madera,160089,4070,26578,19347,6242,977,13015,13981,12189,0.068400715,0.511950611,0.452104017,0.090909091,0.431176952,0.004038562,0.54675054,0.011557359,0.006476588
20,Marin,260800,2514,35929,26133,7935,1857,10368,12174,12518,0.053254960999999996,0.8217868190000001,0.772677155,0.04535316,0.823256112,0.004646089,0.15794134599999998,0.009856895,0.004299557
21,Mariposa,17795,529,1795,1059,633,103,894,993,753,0.145267959,0.503876853,0.35940707,0.066666667,0.39766537,0.003793774,0.578793774,0.015077821000000002,0.004669261
22,Mendocino,88439,2623,16366,10675,5108,583,7405,8004,6783,0.087586649,0.666720048,0.5883759239999999,0.06300703099999999,0.664097831,0.009090909,0.306114444,0.013636364,0.007060451999999999
23,Merced,287420,7801,52212,38704,12374,1107,26453,27557,22855,0.100581622,0.523132955,0.426710025,0.10238907800000001,0.541014201,0.004284736,0.435066369,0.01039159,0.009243104
24,Modoc,9475,56,1070,431,550,89,450,539,527,0.036697247999999995,0.40378160700000004,0.37088834200000004,0.061046512000000004,0.264793921,0.0034538340000000002,0.71586461,0.008979968,0.0069076680000000005
25,Mono,13961,285,1684,1121,512,46,681,726,605,0.053407647999999995,0.633483844,0.585649781,0.06832298099999999,0.595577323,0.006233304,0.372959335,0.018699911,0.0065301280000000005
26,Monterey,448732,3554,81218,54842,23870,2449,36837,39235,37533,0.076230575,0.6794710209999999,0.610560188,0.068648885,0.6951617529999999,0.004569218,0.282443586,0.011102774,0.0067226690000000006
27,Napa,139652,2248,22110,16488,4785,837,8582,9366,9147,0.08523447,0.7554187720000001,0.679200171,0.057342657000000005,0.69046431,0.004296604,0.286569647,0.012668053,0.006001386
28,Nevada,98710,3270,14262,9318,4103,826,5898,6718,6155,0.074223953,0.624530739,0.559076414,0.057737211,0.561528958,0.005328185,0.41357529,0.01419305,0.005374517
29,Orange,3228519,37859,571130,423281,129367,18385,235894,254031,257639,0.06548896400000001,0.6900905190000001,0.63405708,0.06257861599999999,0.53478881,0.003822975,0.444446634,0.011382204,0.005559377
30,Placer,400434,10087,68779,50269,15340,3170,27474,30602,30434,0.061192864000000007,0.656059167,0.605816716,0.053390283,0.454599207,0.003313709,0.521039288,0.016793996999999998,0.004253799
31,Plumas,18997,577,2125,1265,634,225,943,1164,1033,0.051874432000000005,0.547676346,0.500775443,0.07739557700000001,0.40506216700000003,0.003463588,0.5723801070000001,0.013587921999999999,0.005506217
32,Riverside,2468145,51159,484925,368177,103566,13024,219522,232449,223225,0.074783303,0.580771254,0.517260623,0.078764685,0.529846885,0.003381617,0.450425009,0.009998436,0.0063480540000000005
33,Sacramento,1567975,38259,292234,210584,70653,10955,125608,136413,136147,0.066134092,0.6406081229999999,0.584636128,0.073024295,0.613562719,0.0045292579999999995,0.361067034,0.013598909,0.00724208
34,San Benito,64022,895,12252,8796,2984,469,5595,6055,5906,0.08824222400000001,0.7008718190000001,0.623552578,0.07232704400000001,0.61144641,0.003156434,0.36732570200000003,0.011966701000000001,0.006104752
35,San Bernardino,2217398,44365,421309,321950,87862,11455,196897,208192,200728,0.06755133599999999,0.542368619,0.485055116,0.079468182,0.54196022,0.004302545,0.435434475,0.010451417,0.007851343
36,San Diego,3370418,69251,622185,455003,140044,27124,275179,313478,288801,0.089913114,0.744623782,0.6581171379999999,0.068784781,0.6020998129999999,0.004631921,0.374557078,0.013348371999999999,0.005362817
37,San Francisco,892280,11936,116186,89714,20824,5601,40097,45365,46416,0.051855998,0.808418885,0.760621302,0.052387740999999995,0.8525610240000001,0.006269826,0.127193368,0.007437668000000001,0.006538114
38,San Joaquin,782545,19693,149114,108997,36855,3258,72054,75379,68001,0.089513693,0.6073418629999999,0.525216741,0.090252708,0.556064752,0.003671738,0.417894893,0.010107633000000001,0.012260983
39,San Luis Obispo,278862,6363,42965,28006,12923,2028,16686,18675,18278,0.067037359,0.631809703,0.571075305,0.057383320999999994,0.552925855,0.0049713859999999995,0.422229736,0.01507695,0.004796073
40,San Mateo,778001,8141,109239,86264,18278,4639,39449,44011,46173,0.05942018599999999,0.78731485,0.733511329,0.048105287000000004,0.7788783459999999,0.004261846,0.201960716,0.009496301,0.005402791
41,Santa Barbara,456373,7353,73814,53592,17291,2903,31539,34407,32802,0.076808838,0.672586076,0.603281666,0.057232988,0.6487154270000001,0.004687055,0.32812383,0.012059559,0.006414128000000001
42,Santa Clara,1967585,20675,278515,213174,54517,10742,104754,115352,126255,0.049446468,0.794698783,0.751391114,0.049401926,0.7263867620000001,0.0047488009999999995,0.25226479,0.010732996000000002,0.00586665
43,Santa Cruz,273999,3044,39168,27837,9803,1523,15515,16991,17659,0.058163023,0.71392983,0.663083301,0.065779749,0.788790157,0.007332381,0.185981483,0.01176495,0.00613103
44,Shasta,177925,6327,26720,16345,8636,1732,12260,13961,12395,0.07423849,0.457637435,0.391501242,0.069425901,0.322823631,0.00395997,0.6541375229999999,0.013741526,0.005337351
45,Sierra,3115,71,313,213,77,20,152,172,143,0.036177474,0.530716724,0.501365188,0.050359712,0.378042465,0.0067322630000000005,0.591403418,0.013982393000000001,0.009839460999999999
46,Siskiyou,43956,1118,5819,3396,2193,230,2681,2911,2543,0.067845659,0.48022508,0.419062931,0.07554786599999999,0.408699727,0.004942059,0.566206544,0.013548056999999999,0.006603613
47,Solano,444255,9590,79880,59549,17701,2620,34998,37589,36183,0.10067270199999999,0.665078786,0.574676761,0.075943165,0.639406053,0.004653264,0.336637895,0.012021741,0.007281045999999999
48,Sonoma,496668,7702,83370,64205,15731,3430,32522,35893,36655,0.066034066,0.7330491490000001,0.676779363,0.055756117,0.745155916,0.005586675,0.230417752,0.012738663999999999,0.0061009919999999995
49,Stanislaus,562303,16293,110403,79620,27945,2810,54378,57152,49515,0.089024497,0.565947402,0.483581525,0.083805668,0.492389069,0.003451901,0.484499009,0.011602481999999999,0.008057538000000001
50,Sutter,105747,3328,20215,12730,6707,775,9573,10344,9665,0.079355808,0.57230474,0.506393942,0.084745763,0.407255417,0.0031891940000000002,0.571592721,0.012217428,0.00574524
51,Tehama,65885,2361,9176,4873,3846,456,4557,5011,4273,0.048222429000000004,0.409717072,0.36575513200000004,0.07469691,0.310152797,0.003132505,0.666214194,0.014026661000000001,0.006473844
52,Trinity,13354,260,1553,920,452,181,707,887,778,0.057767066,0.463380501,0.40670191299999997,0.056367432,0.455504074,0.007988496999999999,0.509346541,0.018693082,0.008467806
53,Tulare,484423,12571,89484,65164,22330,1976,44705,46634,40323,0.07449232,0.506131685,0.439248866,0.110781405,0.45004595399999997,0.003288287,0.528161487,0.010198455,0.008305817
